CCAA 	Nombre 	Vinculado al Partido 	Cargos ejercidos 	Caso 	Grado de implicación 	Ingresó en prisión
Andalucía 	Antonio Rivas 	PSOE 	Delegado de Empleo de la Junta en la provincia de Sevilla (2000-2010) 	ERE 	Imputado 	No
Andalucía 	Antonio Valverde 	PSOE 	Director general de IDEA 	ERE 	Imputado 	No
Andalucía 	Belén Carmona de León 	PSOE 	Concejal Ayuntamiento de Marbella 	Malaya 	Condenado 	
Andalucía 	Buenaventura Aguilera 	PSOE 	Director General de Presupuestos 	ERE 	Imputado 	No
Andalucía 	Carmen Martínez Aguayo 	PSOE 	Consejero de Hacienda (2009-2013), ViceConsejero de Hacienda (2004-2009) 	ERE 	Investigado 	No
Andalucía 	Daniel Ponce 	PSOE 	Subdirector de Mercasevilla 	Mercasevilla 	Condenado 	
Andalucía 	Daniel Rivera 	PSOE 	Director General de Trabajo (2010-2012) 	ERE 	Imputado 	No
Andalucía 	Domingo Enrique Castaño 	PSOE 	Consejero de Mercasevilla, director del área de Vía Pública del Ayuntamiento de Sevilla, (entre 2005 y 2012, no al mismo tiempo) y asesor del grupo socialista (1999 a 2003) 	Mercasevilla 	Imputado 	
Andalucía 	Fernando Mellet 	PSOE 	Director de Mercasevilla 	Mercasevilla 	Condenado 	No
Andalucía 	Francisco del Río 	PSOE 	Jefe de los servicios jurídicos de la Junta (2001-2008) 	ERE 	Imputado 	No
Andalucía 	Francisco Fernández Sevilla 	PSOE 	Secretario general de UGT 	Formación 	Imputado 	
Andalucía 	Francisco García 'Paquillo' 	PSOE 	Secretario General de Empleo 	ERE 	Imputado 	No
Andalucía 	Francisco Mencía Morales 	PSOE 	Director General del Instituto de Fomento de Andalucía (IFA), lo que hoy es IDEA 	ERE 	Imputado 	No
Andalucía 	Francisco Vallejo 	PSOE 	Consejero de Innovación (2004-2009) 	ERE 	Investigado 	No
Andalucía 	Gaspar Zarrías 	PSOE 	Presidente en funciones de la Junta de Andalucía (marzo-abril2009 'interregno') Vicepresidente de la Junta de Andalucía (2008-2009) Consejero de la Presidencia (1996-2010) 	ERE 	Investigado 	No
Andalucía 	Gonzalo Crespo 	PSOE 	Presidente de Mercasevilla (2006), concejal del Ayuntamiento de Sevilla (2003-2007) 	Mercasevilla 	Imputado 	
Andalucía 	Gonzalo Suárez (político) 	PSOE 	Viceconsejero Innovación 	ERE 	Imputado 	No
Andalucía 	Isabel de Haro 	PSOE 	Secretario General de Desarrollo Industrial y Energético 	ERE 	Imputado 	No
Andalucía 	Isabel García Marcos 	PSOE 	Teniente de alcalde del Ayuntamiento de Marbella 	Malaya 	Condenado 	Preventiva
Andalucía 	Jacinto Cañete Rolloso 	PSOE 	Director General Agencia IDEA 	ERE 	Imputado 	No
Andalucía 	Javier Aguado Hinojal 	PSOE 	Secretario General Técnico de Empleo (2004-2008) 	ERE 	Imputado 	No
Andalucía 	Javier Guerrero 	PSOE 	Director general de Trabajo y Seguridad Social (1999-2008) 	ERE 	Imputado 	Preventiva
Andalucía 	Jesús María Rodríguez 	PSOE 	Viceconsejero Innovación 	ERE 	Imputado 	No
Andalucía 	Joaquín Moya-Angeler Cabrera 	PSOE 	Presidente de la Corporación Tecnológica de Andalucía 	ERE 	Imputado 	No
Andalucía 	José Antonio Griñán 	PSOE 	Presidente de la Junta de Andalucía (2009-2013) Consejero de Economía y Hacienda (2004-2009) 	ERE 	Investigado 	No
Andalucía 	José Antonio Viera 	PSOE 	Consejero de empleo (2004-2004) 	ERE 	Investigado 	No
Andalucía 	José de Haro Bailón 	PSOE 	Viceconsejero de Economía (2009-2013) 	ERE 	Imputado 	No
