id,pardon_date,minister,crime,gender
BOE-A-2000-23778,2000-12-01,Ángel Acebes,"un delito contra la salud pública y otro de contrabando en grado de tentativa, a la pena de dos años de prisión y multa de 200.000 pesetas, por el primer delito, y cuarenta y ocho fines de semana de arresto y multa de 122.100 pesetas por el segundo delito, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-2001-6791,2001-03-23,Ángel Acebes,"un delito contra la salud pública, a la pena de seis meses y un día de prisión menor y multa de 500.000 pesetas y un delito de contrabando en grado de tentativa, a la pena de cuarenta y ocho fines de semana de arresto y multa de 125.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-2006-21956,2006-11-24,Juan Fernando López Aguilar,"un delito contra la salud pública, a la pena de tres años y tres días de prisión y multa de 14.000 euros, con las accesorias de inhabilitación especial para el derecho de sufragio pasivo durante el tiempo de la condena",Hombre
BOE-A-2009-14387,2009-07-31,Francisco Camaño,"un delito contra la salud pública, a la pena de tres años y un día de prisión, con la accesoria legal de inhabilitación especial para el derecho de sufragio pasivo durante el tiempo de la condena y multa de 686,17 euros",Hombre
BOE-A-2009-15981,2009-09-18,Francisco Camaño,"un delito contra la salud pública, a la pena de tres años y 10 meses de prisión y multa de 150.000 euros, con la accesoria de inhabilitación especial para el derecho de sufragio pasivo durante el tiempo de la condena",Hombre
