id,pardon_date,minister,crime,gender
BOE-A-1996-8526,1996-03-22,Juan Alberto Belloch,"un delito contra la salud pública, a la pena de cuatro años, dos meses y un día de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-8622,1996-03-28,Juan Alberto Belloch,"un delito contra la salud pública, a la pena de un año y seis meses de prisión menor y multa de 500.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-8620,1996-03-28,Juan Alberto Belloch,"un delito de hurto, a la pena de tres meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-8630,1996-03-28,Juan Alberto Belloch,"un delito de robo, a la pena de cuatro años, dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-8626,1996-03-28,Juan Alberto Belloch,"dos delitos de robo, a la pena de dos meses y un día de arresto mayor y a dos años de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-7444,1996-03-28,Juan Alberto Belloch,"un delito de homicidio frustrado, a la pena de seis años y un día de prisión mayor, y una falta de lesiones, a la pena de veinte días de arresto menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-8624,1996-03-28,Juan Alberto Belloch,"un delito continuado de falsedad, a la pena de dieciocho meses de prisión menor y multa de 100.000 pesetas, y otro delito de estafa, en grado de tentativa, a la pena de 100.000 pesetas de multa, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-9702,1996-04-12,Juan Alberto Belloch,"un delito de receptación, a la pena de seis años y un día de prisión mayor y multa de 500.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1996-9704,1996-04-12,Juan Alberto Belloch,"un delito de prevaricación, a la pena de seis años y un día de inhabilitación especial que comprenderá la función del cargo que ostente y la de obtener otros cargos políticos de designación por elección durante el tiempo de la condena",Hombre
BOE-A-1996-9910,1996-04-19,Juan Alberto Belloch,"un delito de hurto, a la pena de cinco meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-9903,1996-04-19,Juan Alberto Belloch,"un delito de robo, a la pena de dos meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-9905,1996-04-19,Juan Alberto Belloch,"un delito continuado de falsedad en documento oficial, a la pena de diez meses de prisión menor y multa de 50.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-9908,1996-04-19,Juan Alberto Belloch,"dos delitos de robo, a la pena de doce años de prisión mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-11333,1996-04-26,Juan Alberto Belloch,"un delito de robo con fuerza en las cosas, a la pena de tres años de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1996-11335,1996-04-26,Juan Alberto Belloch,"un delito de robo con fuerza en las cosas, a la pena de cuatro años y dos meses de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-11340,1996-04-26,Juan Alberto Belloch,"un delito de robo, a la pena de cuatro años, dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-18226,1996-06-21,Margarita Mariscal De Gante,"un delito de robo con fuerza en las cosas, a la pena de un año de prisión menor; un delito de utilización ilegítima de vehículos de motor ajeno, a la pena de cuatro meses y un día de arresto mayor y privación del permiso de conducir durante un año, y un delito de robo con violencia y uso de armas, a la pena de cuatro años dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-18224,1996-06-21,Margarita Mariscal De Gante,"un delito de lesiones, a la pena de dos años cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-18223,1996-06-21,Margarita Mariscal De Gante,"un delito de lesiones, a la pena de dos años cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-19687,1996-07-05,Margarita Mariscal De Gante,"un delito contra el deber de prestación del servicio militar, a la pena de dos años cuatro meses y un día de prisión menor e inhabilitación absoluta durante el tiempo de la condena",Hombre
BOE-A-1996-19681,1996-07-05,Margarita Mariscal De Gante,"un delito de robo con violencia e intimidación en las personas, a la pena de cuatro años dos meses y un día de prisión menor, y una falta de daños, a la pena de cinco días de arresto menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-19691,1996-07-05,Margarita Mariscal De Gante,"un delito de robo en grado de tentativa, a la pena de 40.000 pesetas de multa, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1996-19684,1996-07-05,Margarita Mariscal De Gante,"un delito de robo en grado de tentativa, a la pena de dos meses y un día de arresto mayor, y un delito de quebrantamiento de condena, a la pena de dos meses y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-19690,1996-07-05,Margarita Mariscal De Gante,"un delito de robo, a la pena de dos años cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-20305,1996-07-12,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de dos años cuatro meses y un día de prisión menor y multa de 1.000.000 de pesetas, y un delito de receptación, a la pena de un año de prisión menor y multa de 30.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-20310,1996-07-12,Margarita Mariscal De Gante,"un delito de falsedad en documento oficial, a la pena de dos años de prisión menor y multa de 200.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-20308,1996-07-12,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de tres años de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1996-20300,1996-07-12,Margarita Mariscal De Gante,"un delito de robo, a la pena de cuatro años, dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1996-20358,1996-07-19,Margarita Mariscal De Gante,"un delito de robo, a la pena de un año de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-20347,1996-07-19,Margarita Mariscal De Gante,"un delito de robo, a la pena de cuatro años, dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-20424,1996-07-26,Margarita Mariscal De Gante,"un delito de lesiones, a la pena de dos años, cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-20417,1996-07-26,Margarita Mariscal De Gante,"un delito de lesiones, a la pena de dos años, cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-20473,1996-08-02,Margarita Mariscal De Gante,"un delito de robo, a la pena de dos años, cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-21819,1996-09-06,Margarita Mariscal De Gante,"un delito de robo en grado de frustración, a la pena de un mes y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-22213,1996-09-13,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de dos años cuatro meses y un día de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condenaç",Hombre
BOE-A-1996-22212,1996-09-13,Margarita Mariscal De Gante,"un delito de robo, a la pena de cuatro años dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-22681,1996-09-20,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de dos años cuatro meses y un día de prisión menor y multa de 10.000.000 de pesetas, con arresto sustitutorio de sesenta días en caso de impago, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-22678,1996-09-20,Margarita Mariscal De Gante,"un delito de robo en grado de tentativa, a la pena de 60.000 pesetas de multa, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-24003,1996-10-04,Margarita Mariscal De Gante,"un delito de hurto, a la pena de dos meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-24015,1996-10-04,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de tres años de prisión menor y multa de 10.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-24012,1996-10-04,Margarita Mariscal De Gante,"un delito de atentado a agentes de la autoridad, a la pena de dos años, cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-24095,1996-10-11,Margarita Mariscal De Gante,"un delito de lesiones, a la pena de dos años cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-24093,1996-10-11,Margarita Mariscal De Gante,"un delito de lesiones, a la pena de dos años cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-24101,1996-10-11,Margarita Mariscal De Gante,"un delito de lesiones, a la pena de dos años cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-24812,1996-10-18,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de cuatro años, dos meses y un día de prisión menor y multa de 70.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1996-24806,1996-10-18,Margarita Mariscal De Gante,"un delito de receptación, a la pena de seis meses y un día de prisión menor y multa de 30.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1996-26063,1996-10-25,Margarita Mariscal De Gante,"un delito de robo, a la pena de seis meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-26054,1996-10-25,Margarita Mariscal De Gante,"un delito de lesiones, a la pena de tres años, seis meses y veintiún días de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1996-26064,1996-10-25,Margarita Mariscal De Gante,"un delito de robo, a la pena de un año de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-26061,1996-10-25,Margarita Mariscal De Gante,"un delito de robo, a la pena de seis meses de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-26206,1996-10-31,Margarita Mariscal De Gante,"un delito de robo, a la pena de un mes y un día de arresto mayor, y otro delito de robo con fuerza en las cosas, a la pena de un mes y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-26200,1996-10-31,Margarita Mariscal De Gante,"un delito de robo, a la pena de cuatro meses de arresto mayor, con las accesorias legales de suspensión de cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-26198,1996-10-31,Margarita Mariscal De Gante,"un delito de quebrantamiento de condena, a la pena de un mes y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-27251,1996-11-08,Margarita Mariscal De Gante,"un delito de falsedad documental, a la pena de dos años cuatro meses y un día de prisión menor y multa de 30.000 pesetas, y otro delito de apropiación indebida, a la pena de tres meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-27253,1996-11-08,Margarita Mariscal De Gante,"un delito de falsedad, a la pena de dos meses y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-27245,1996-11-08,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de dos años cuatro meses y un día de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1996-27244,1996-11-08,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de dos años cuatro meses y un día de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-28772,1996-11-22,Margarita Mariscal De Gante,"un delito de lesiones, a la pena de seis meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-1213,1996-12-20,Margarita Mariscal De Gante,"un delito de hurto, a la pena de un mes y un día de arresto menor, y delito continuado de falsedad en documento mercantil en concurso ideal con delito de estafa, a la pena de dos años de prisión menor y multa de 200.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-1220,1996-12-20,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de dos años cuatro meses y un día de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-1275,1996-12-27,Margarita Mariscal De Gante,"un delito de quebrantamiento de condena, a la pena de un mes y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-1277,1996-12-27,Margarita Mariscal De Gante,"un delito de robo, a la pena de dos meses y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-1938,1997-01-17,Margarita Mariscal De Gante,"un delito de receptación, a la pena de un mes y un día de arresto mayor y multa de 100.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-1942,1997-01-17,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de dos años cuatro meses y un día de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-1936,1997-01-17,Margarita Mariscal De Gante,"un delito de hurto, a la pena de dos meses y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-3112,1997-01-24,Margarita Mariscal De Gante,"un delito de robo con fuerza en las cosas, a la pena de cinco meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-3113,1997-01-24,Margarita Mariscal De Gante,"un delito de participación de riña tumultuaria, a la pena de cuatro meses y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-3576,1997-01-31,Margarita Mariscal De Gante,"un delito de robo, a la pena de dos meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-3583,1997-01-31,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de dos años, cuatro meses y un día de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1997-4484,1997-02-07,Margarita Mariscal De Gante,"un delito de quebrantamiento de condena, a la pena de un mes y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de condena",Hombre
BOE-A-1997-5002,1997-02-14,Margarita Mariscal De Gante,"un delito de hurto, a la pena de un mes y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-6058,1997-02-21,Margarita Mariscal De Gante,"un delito de robo con fuerza en las cosas, a la pena de seis meses y un día de prisión menor, y un delito de hurto, a la pena de dos meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-6052,1997-02-21,Margarita Mariscal De Gante,"un delito de robo con fuerza en las cosas en casa habitada, a la pena de cuatro años dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-8133,1997-03-07,Margarita Mariscal De Gante,"un delito de robo con fuerza en las cosas en grado de frustracción, a la pena de multa de 200.000 pesetas, y delito de resistencia, a la pena de un mes y un día de arresto mayor y multa de 100.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-8141,1997-03-07,Margarita Mariscal De Gante,"un delito de quebrantamiento de condena, a la pena de un mes y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-8251,1997-03-14,Margarita Mariscal De Gante,"un delito frustrado de robo con fuerza en las cosas, a la pena de 60.000 pesetas de multa",Hombre
BOE-A-1997-8252,1997-03-14,Margarita Mariscal De Gante,"un delito de robo, a la pena de dos años, cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-8260,1997-03-14,Margarita Mariscal De Gante,"un delito de robo en grado de frustración, a la pena de dos meses y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-8253,1997-03-14,Margarita Mariscal De Gante,"un delito contra la seguridad del tráfico, a la pena de 300.000 pesetas de multa y privación del permiso de conducir durante un año",Hombre
BOE-A-1997-8372,1997-03-21,Margarita Mariscal De Gante,"un delito de robo con fuerza en las cosas, a la pena de dos meses y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-8360,1997-03-21,Margarita Mariscal De Gante,"un delito de robo, en grado de tentativa, a la pena de 100.000 pesetas de multa, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-8362,1997-03-21,Margarita Mariscal De Gante,"un delito de lesiones, a la pena de dos años cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-8374,1997-03-21,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de cuatro años dos meses y un día de prisión menor y multa de 51.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-6413,1997-03-21,Margarita Mariscal De Gante,"un delito de robo con fuerza en las cosas, a la pena de cuatro años dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-9096,1997-04-14,Margarita Mariscal De Gante,"un delito continuado de robo, a la pena de dos años cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-9756,1997-04-14,Margarita Mariscal De Gante,"un delito de lesiones, a la pena de dos años, cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-9100,1997-04-14,Margarita Mariscal De Gante,"un delito continuado de robo, a la pena de seis meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-9752,1997-04-14,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de dos años, cuatro meses y un día de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1997-9102,1997-04-14,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de cinco años de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1997-9759,1997-04-14,Margarita Mariscal De Gante,"un delito de apropiación indebida, a la pena de dos meses y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-9094,1997-04-14,Margarita Mariscal De Gante,"un delito de hurto, a la pena de cuatro meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
